datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,prelim_load_avg_hourly
1/3/2022 12:00:00 PM,1/3/2022 7:00:00 AM,1/3/2022 1:00:00 PM,1/3/2022 8:00:00 AM,MIDATL,33349.4
1/3/2022 1:00:00 PM,1/3/2022 8:00:00 AM,1/3/2022 2:00:00 PM,1/3/2022 9:00:00 AM,MIDATL,34769.9
1/3/2022 2:00:00 PM,1/3/2022 9:00:00 AM,1/3/2022 3:00:00 PM,1/3/2022 10:00:00 AM,MIDATL,35977.8
1/3/2022 3:00:00 PM,1/3/2022 10:00:00 AM,1/3/2022 4:00:00 PM,1/3/2022 11:00:00 AM,MIDATL,36674.0
1/3/2022 4:00:00 PM,1/3/2022 11:00:00 AM,1/3/2022 5:00:00 PM,1/3/2022 12:00:00 PM,MIDATL,37243.6
1/3/2022 5:00:00 PM,1/3/2022 12:00:00 PM,1/3/2022 6:00:00 PM,1/3/2022 1:00:00 PM,MIDATL,37430.2
1/3/2022 6:00:00 PM,1/3/2022 1:00:00 PM,1/3/2022 7:00:00 PM,1/3/2022 2:00:00 PM,MIDATL,37351.5
1/3/2022 7:00:00 PM,1/3/2022 2:00:00 PM,1/3/2022 8:00:00 PM,1/3/2022 3:00:00 PM,MIDATL,37107.4
1/3/2022 8:00:00 PM,1/3/2022 3:00:00 PM,1/3/2022 9:00:00 PM,1/3/2022 4:00:00 PM,MIDATL,37131.3
1/3/2022 9:00:00 PM,1/3/2022 4:00:00 PM,1/3/2022 10:00:00 PM,1/3/2022 5:00:00 PM,MIDATL,37902.9
1/3/2022 10:00:00 PM,1/3/2022 5:00:00 PM,1/3/2022 11:00:00 PM,1/3/2022 6:00:00 PM,MIDATL,40031.2
1/3/2022 11:00:00 PM,1/3/2022 6:00:00 PM,1/4/2022 12:00:00 AM,1/3/2022 7:00:00 PM,MIDATL,40026.9
1/4/2022 12:00:00 AM,1/3/2022 7:00:00 PM,1/4/2022 1:00:00 AM,1/3/2022 8:00:00 PM,MIDATL,39427.8
1/4/2022 1:00:00 AM,1/3/2022 8:00:00 PM,1/4/2022 2:00:00 AM,1/3/2022 9:00:00 PM,MIDATL,38635.5
1/4/2022 2:00:00 AM,1/3/2022 9:00:00 PM,1/4/2022 3:00:00 AM,1/3/2022 10:00:00 PM,MIDATL,37381.3
1/4/2022 3:00:00 AM,1/3/2022 10:00:00 PM,1/4/2022 4:00:00 AM,1/3/2022 11:00:00 PM,MIDATL,35621.4
1/4/2022 4:00:00 AM,1/3/2022 11:00:00 PM,1/4/2022 5:00:00 AM,1/4/2022 12:00:00 AM,MIDATL,34049.6
1/4/2022 5:00:00 AM,1/4/2022 12:00:00 AM,1/4/2022 6:00:00 AM,1/4/2022 1:00:00 AM,MIDATL,32988.5
1/4/2022 6:00:00 AM,1/4/2022 1:00:00 AM,1/4/2022 7:00:00 AM,1/4/2022 2:00:00 AM,MIDATL,32453.1
1/4/2022 7:00:00 AM,1/4/2022 2:00:00 AM,1/4/2022 8:00:00 AM,1/4/2022 3:00:00 AM,MIDATL,32315.6
1/4/2022 8:00:00 AM,1/4/2022 3:00:00 AM,1/4/2022 9:00:00 AM,1/4/2022 4:00:00 AM,MIDATL,32479.6
1/4/2022 9:00:00 AM,1/4/2022 4:00:00 AM,1/4/2022 10:00:00 AM,1/4/2022 5:00:00 AM,MIDATL,33336.0
1/4/2022 10:00:00 AM,1/4/2022 5:00:00 AM,1/4/2022 11:00:00 AM,1/4/2022 6:00:00 AM,MIDATL,35137.5
1/4/2022 11:00:00 AM,1/4/2022 6:00:00 AM,1/4/2022 12:00:00 PM,1/4/2022 7:00:00 AM,MIDATL,37866.5
1/4/2022 12:00:00 PM,1/4/2022 7:00:00 AM,1/4/2022 1:00:00 PM,1/4/2022 8:00:00 AM,MIDATL,39626.8
1/4/2022 1:00:00 PM,1/4/2022 8:00:00 AM,1/4/2022 2:00:00 PM,1/4/2022 9:00:00 AM,MIDATL,39588.6
1/4/2022 2:00:00 PM,1/4/2022 9:00:00 AM,1/4/2022 3:00:00 PM,1/4/2022 10:00:00 AM,MIDATL,38169.6
1/4/2022 3:00:00 PM,1/4/2022 10:00:00 AM,1/4/2022 4:00:00 PM,1/4/2022 11:00:00 AM,MIDATL,36878.6
1/4/2022 4:00:00 PM,1/4/2022 11:00:00 AM,1/4/2022 5:00:00 PM,1/4/2022 12:00:00 PM,MIDATL,35885.7
1/4/2022 5:00:00 PM,1/4/2022 12:00:00 PM,1/4/2022 6:00:00 PM,1/4/2022 1:00:00 PM,MIDATL,35094.7
1/4/2022 6:00:00 PM,1/4/2022 1:00:00 PM,1/4/2022 7:00:00 PM,1/4/2022 2:00:00 PM,MIDATL,34676.4
1/4/2022 7:00:00 PM,1/4/2022 2:00:00 PM,1/4/2022 8:00:00 PM,1/4/2022 3:00:00 PM,MIDATL,34442.9
1/4/2022 8:00:00 PM,1/4/2022 3:00:00 PM,1/4/2022 9:00:00 PM,1/4/2022 4:00:00 PM,MIDATL,34821.8
1/4/2022 9:00:00 PM,1/4/2022 4:00:00 PM,1/4/2022 10:00:00 PM,1/4/2022 5:00:00 PM,MIDATL,36499.1
1/4/2022 10:00:00 PM,1/4/2022 5:00:00 PM,1/4/2022 11:00:00 PM,1/4/2022 6:00:00 PM,MIDATL,39282.0
1/4/2022 11:00:00 PM,1/4/2022 6:00:00 PM,1/5/2022 12:00:00 AM,1/4/2022 7:00:00 PM,MIDATL,39565.8
1/5/2022 12:00:00 AM,1/4/2022 7:00:00 PM,1/5/2022 1:00:00 AM,1/4/2022 8:00:00 PM,MIDATL,39140.2
1/5/2022 1:00:00 AM,1/4/2022 8:00:00 PM,1/5/2022 2:00:00 AM,1/4/2022 9:00:00 PM,MIDATL,38275.4
1/5/2022 2:00:00 AM,1/4/2022 9:00:00 PM,1/5/2022 3:00:00 AM,1/4/2022 10:00:00 PM,MIDATL,36933.4
1/5/2022 3:00:00 AM,1/4/2022 10:00:00 PM,1/5/2022 4:00:00 AM,1/4/2022 11:00:00 PM,MIDATL,35032.8
1/5/2022 4:00:00 AM,1/4/2022 11:00:00 PM,1/5/2022 5:00:00 AM,1/5/2022 12:00:00 AM,MIDATL,33384.8
1/5/2022 5:00:00 AM,1/5/2022 12:00:00 AM,1/5/2022 6:00:00 AM,1/5/2022 1:00:00 AM,MIDATL,32312.2
1/5/2022 6:00:00 AM,1/5/2022 1:00:00 AM,1/5/2022 7:00:00 AM,1/5/2022 2:00:00 AM,MIDATL,31680.8
1/5/2022 7:00:00 AM,1/5/2022 2:00:00 AM,1/5/2022 8:00:00 AM,1/5/2022 3:00:00 AM,MIDATL,31339.9
1/5/2022 8:00:00 AM,1/5/2022 3:00:00 AM,1/5/2022 9:00:00 AM,1/5/2022 4:00:00 AM,MIDATL,31288.2
1/5/2022 9:00:00 AM,1/5/2022 4:00:00 AM,1/5/2022 10:00:00 AM,1/5/2022 5:00:00 AM,MIDATL,31803.7
1/5/2022 10:00:00 AM,1/5/2022 5:00:00 AM,1/5/2022 11:00:00 AM,1/5/2022 6:00:00 AM,MIDATL,33184.4
1/5/2022 11:00:00 AM,1/5/2022 6:00:00 AM,1/5/2022 12:00:00 PM,1/5/2022 7:00:00 AM,MIDATL,35509.8
1/5/2022 12:00:00 PM,1/5/2022 7:00:00 AM,1/5/2022 1:00:00 PM,1/5/2022 8:00:00 AM,MIDATL,37030.7
1/5/2022 1:00:00 PM,1/5/2022 8:00:00 AM,1/5/2022 2:00:00 PM,1/5/2022 9:00:00 AM,MIDATL,37500.1
1/5/2022 2:00:00 PM,1/5/2022 9:00:00 AM,1/5/2022 3:00:00 PM,1/5/2022 10:00:00 AM,MIDATL,37453.0
1/5/2022 3:00:00 PM,1/5/2022 10:00:00 AM,1/5/2022 4:00:00 PM,1/5/2022 11:00:00 AM,MIDATL,37203.4
1/5/2022 4:00:00 PM,1/5/2022 11:00:00 AM,1/5/2022 5:00:00 PM,1/5/2022 12:00:00 PM,MIDATL,36571.4
1/5/2022 5:00:00 PM,1/5/2022 12:00:00 PM,1/5/2022 6:00:00 PM,1/5/2022 1:00:00 PM,MIDATL,35915.2
1/5/2022 6:00:00 PM,1/5/2022 1:00:00 PM,1/5/2022 7:00:00 PM,1/5/2022 2:00:00 PM,MIDATL,35366.4
1/5/2022 7:00:00 PM,1/5/2022 2:00:00 PM,1/5/2022 8:00:00 PM,1/5/2022 3:00:00 PM,MIDATL,34940.7
1/5/2022 8:00:00 PM,1/5/2022 3:00:00 PM,1/5/2022 9:00:00 PM,1/5/2022 4:00:00 PM,MIDATL,34934.8
1/5/2022 9:00:00 PM,1/5/2022 4:00:00 PM,1/5/2022 10:00:00 PM,1/5/2022 5:00:00 PM,MIDATL,35735.1
1/5/2022 10:00:00 PM,1/5/2022 5:00:00 PM,1/5/2022 11:00:00 PM,1/5/2022 6:00:00 PM,MIDATL,37511.1
1/5/2022 11:00:00 PM,1/5/2022 6:00:00 PM,1/6/2022 12:00:00 AM,1/5/2022 7:00:00 PM,MIDATL,37312.6
1/6/2022 12:00:00 AM,1/5/2022 7:00:00 PM,1/6/2022 1:00:00 AM,1/5/2022 8:00:00 PM,MIDATL,36708.0
1/6/2022 1:00:00 AM,1/5/2022 8:00:00 PM,1/6/2022 2:00:00 AM,1/5/2022 9:00:00 PM,MIDATL,35800.3
1/6/2022 2:00:00 AM,1/5/2022 9:00:00 PM,1/6/2022 3:00:00 AM,1/5/2022 10:00:00 PM,MIDATL,34378.0
